sortTime,departureTime_timeAMPM,departureTime_time24,arrivalTime_timeAMPM,arrivalTime_time24,carrier_fs,carrier_name,carrier_flightNumber,operatedBy,url,airport_fs,airport_city,isCodeshare
2024-03-28T07:55:00.000Z,11:20AM,11:20,2:55PM,14:55,QZ,Indonesia AirAsia,251,,/flight-tracker/QZ/251?year=2024&amp;month=3&amp;date=28&amp;flightId=1243054964,DMK,Bangkok,
2024-03-28T07:55:00.000Z,1:45PM,13:45,2:55PM,14:55,ID*,Batik Air,6257,,/flight-tracker/ID*/6257?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031246,AAP,Samarinda,
2024-03-28T07:55:00.000Z,1:20PM,13:20,2:55PM,14:55,6D,Pelita Air Service,205,,/flight-tracker/6D/205?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031617,SUB,Surabaya,
2024-03-28T07:55:00.000Z,1:40PM,13:40,2:55PM,14:55,GA,Garuda Indonesia,209,,/flight-tracker/GA/209?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026431,YIA,Yogyakarta,
2024-03-28T07:55:00.000Z,1:40PM,13:40,2:55PM,14:55,CI,China Airlines,9675,Operated by Garuda Indonesia 209,/flight-tracker/CI/9675?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026431,YIA,Yogyakarta,TRUE
2024-03-28T07:55:00.000Z,1:40PM,13:40,2:55PM,14:55,KL,KLM,4065,Operated by Garuda Indonesia 209,/flight-tracker/KL/4065?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026431,YIA,Yogyakarta,TRUE
2024-03-28T07:55:00.000Z,1:40PM,13:40,2:55PM,14:55,MH,Malaysia Airlines,4025,Operated by Garuda Indonesia 209,/flight-tracker/MH/4025?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026431,YIA,Yogyakarta,TRUE
2024-03-28T07:55:00.000Z,1:40PM,13:40,2:55PM,14:55,NH,ANA,5554,Operated by Garuda Indonesia 209,/flight-tracker/NH/5554?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026431,YIA,Yogyakarta,TRUE
2024-03-28T08:00:00.000Z,1:50PM,13:50,3:00PM,15:00,CTV,Citilink,633,,/flight-tracker/CTV/633?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053598,LBJ,Labuan Bajo,
2024-03-28T08:00:00.000Z,1:55PM,13:55,3:00PM,15:00,ID*,Batik Air,7283,,/flight-tracker/ID*/7283?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031349,KUL,Kuala Lumpur,
2024-03-28T08:00:00.000Z,1:20PM,13:20,3:00PM,15:00,JT*,Lion Air,901,,/flight-tracker/JT*/901?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034951,BTH,Batam,
2024-03-28T08:00:00.000Z,1:50PM,13:50,3:00PM,15:00,CTV,Citilink,761,,/flight-tracker/CTV/761?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053633,SOC,Surakarta,
2024-03-28T08:00:00.000Z,2:10PM,14:10,3:00PM,15:00,JT*,Lion Air,243,,/flight-tracker/JT*/243?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034628,TKG,Bandar Lampung,
